ID|CODE|TRANSLATION[it]
arpav.sa.classec.702x_V0|702x|[702x] - Trasporti Marittimi
arpav.sa.classec.703x_V0|703x|[703x] - Trasporti Aerei
arpav.sa.classec.704x_V0|704x|[704x] - Trasporti Complementari
arpav.sa.classec.705x_V0|705x|[705x] - Servizi Ausiliari
arpav.sa.classec.706x_V0|706x|[706x] - Comunicazioni
arpav.sa.classec.801a_V0|801a|[801a] - Imprese Bancarie
arpav.sa.classec.801b_V0|801b|[801b] - Ist.Speciali Credito E Finanz.
arpav.sa.classec.801x_V0|801x|[801x] - Credito
arpav.sa.classec.802x_V0|802x|[802x] - Assicurazione
arpav.sa.classec.803x_V0|803x|[803x] - Imp.Finanz.Di Controllo Esatt.
arpav.sa.classec.901x_V0|901x|[901x] - Servizi Per L'igiene E Pulizia
arpav.sa.classec.902x_V0|902x|[902x] - Servizi Spettacolo,Ricreativi
arpav.sa.classec.903a_V0|903a|[903a] - Servizi Sanitari Pubblici
arpav.sa.classec.903b_V0|903b|[903b] - Servizi Sanitari Privati
arpav.sa.classec.903x_V0|903x|[903x] - Servizi Sanitari
arpav.sa.classec.904x_V0|904x|[904x] - Serv.Formaz.Profess.,Culturale
arpav.sa.classec.905x_V0|905x|[905x] - Serv.Legali,Comm.Li,Artistici
arpav.sa.classec.906x_V0|906x|[906x] - Enti,Ass.Politici,Sind.,Prof.
arpav.sa.classec.907a_V0|907a|[907a] - Istit.E Assoc. Cattoliche
arpav.sa.classec.907b_V0|907b|[907b] - Istit.,Assoc. Non Cattoliche
arpav.sa.classec.907x_V0|907x|[907x] - Istit.Ecclesiastiche,Religiose
arpav.sa.classec.908x_V0|908x|[908x] - Serv.Non Altrove Classificati
arpav.sa.classec.910a_V0|910a|[910a] - Distributori Carburanti
arpav.sa.classec.911a_V0|911a|[911a] - Parrucchiere - Estetica
arpav.sa.classec.912a_V0|912a|[912a] - Anodizzazione
arpav.sa.classec.912b_V0|912b|[912b] - Elettromeccanica
arpav.sa.classec.912c_V0|912c|[912c] - Carpenteria Metallica
arpav.sa.classec.913a_V0|913a|[913a] - Termoidraulica
arpav.sa.classec.914a_V0|914a|[914a] - Az. Agricole Ed Affini
arpav.sa.classec.915a_V0|915a|[915a] - Enti Pubblici
arpav.sa.classec.916a_V0|916a|[916a] - Palestre Private
arpav.sa.classec.917a_V0|917a|[917a] - Commercio
arpav.sa.classec.918a_V0|918a|[918a] - Piccolo Artigianato
