#CODESYSTEMID=2.16.840.1.113883.6.8|CODESYSTEMNAME=UCUM|CODESYSTEMDISPLAYNAME=UCUM|VERSION=1|DESCRIPTION=The Unified Code for Units of Measure|LANGUAGE=en|AUTHORITYNAME=Regenstrief Institute, Inc. and The UCUM  Organization|AUTHORITYDESCRIPTION=The Organization|AUTHORITYCONTACTINFORMATION=http://unitsofmeasure.org/|VALIDFROM=08/07/2010 10:38
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|DIM|VALUE.UNIT [CASE INSENSITIVE]|VALUE.UNIT [CASE SENSITIVE]|VALUE.VALUE|CODE EQUIVALENT [T]|CODE EQUIVALENT [S]|VALID FROM|VALID TO
25.249.249_V1|OSM|osm|osmole|C|0|1||MOL|mol|1|||08/07/2010 10:38|
25.250_V1|-|acidity|acidity|A|0|1|||||||08/07/2010 10:38|
25.250.250_V1|[PH]|[pH]|pH|C|0|1||PH(1 MOL/L)|pH(1 mol/l)||||08/07/2010 10:38|
25.251_V1|-|mass concentration|mass concentration|A|0|1|||||||08/07/2010 10:38|
25.251.251_V1|G%|g%|gram percent|C|0|1||G/DL|g/dl|1|||08/07/2010 10:38|
25.252_V1|-|sedimentation coefficient|sedimentation coefficient|A|0|1|||||||08/07/2010 10:38|
25.252.252_V1|[S]|[S]|Svedberg unit|C|0|1||10*-13.S|10*-13.s|1|||08/07/2010 10:38|
25.253_V1|-|view area in microscope|view area in microscope|A|0|1|||||||08/07/2010 10:38|
25.253.253_V1|[HPF]|[HPF]|high power field|C|0|1||1|1|1|||08/07/2010 10:38|
25.253.254_V1|[LPF]|[LPF]|low power field|C|0|1||1|1|100|||08/07/2010 10:38|
25.255_V1|-|catalytic activity|catalytic activity|A|0|1|||||||08/07/2010 10:38|
25.255.255_V1|KAT|kat|katal|C|0|1||MOL/S|mol/s|1|||08/07/2010 10:38|
25.255.256_V1|U|U|Unit|C|0|1||UMOL/MIN|umol/min|1|||08/07/2010 10:38|
25.257_V1|-|arbitrary|arbitrary|A|0|1|||||||08/07/2010 10:38|
25.257.257_V1|[IU]|[IU]|international unit|C|0|1||1|1|1|||08/07/2010 10:38|
25.257.259_V1|[ARB'U]|[arb'U]|arbitary unit|C|0|1||1|1|1|||08/07/2010 10:38|
25.257.260_V1|[USP'U]|[USP'U]|United States Pharmacopeia unit|C|0|1||1|1|1|||08/07/2010 10:38|
25.25_V1|-|length|length|A|0|1|||||||08/07/2010 10:38|
25.25.117_V1|[IN_I]|[in_i]|inch|C|0|1||CM|cm|254e-2|||08/07/2010 10:38|
25.25.118_V1|[FT_I]|[ft_i]|foot|C|0|1||[IN_I]|[in_i]|12|||08/07/2010 10:38|
25.25.119_V1|[YD_I]|[yd_i]|yard|C|0|1||[FT_I]|[ft_i]|3|||08/07/2010 10:38|
25.25.120_V1|[MI_I]|[mi_i]|statute mile|C|0|1||[FT_I]|[ft_i]|5280|||08/07/2010 10:38|
25.25.122_V1|[NMI_I]|[nmi_i]|nautical mile|C|0|1||M|m|1852|||08/07/2010 10:38|
25.25.132_V1|[MIL_I]|[mil_i]|mil|C|0|1||[IN_I]|[in_i]|1e-3|||08/07/2010 10:38|
25.25.135_V1|[FT_US]|[ft_us]|foot|C|0|1||M/3937|m/3937|1200|||08/07/2010 10:38|
25.25.136_V1|[YD_US]|[yd_us]|yard|C|0|1||[FT_US]|[ft_us]|3|||08/07/2010 10:38|
25.25.137_V1|[IN_US]|[in_us]|inch|C|0|1||[FT_US]/12|[ft_us]/12|1|||08/07/2010 10:38|
25.25.138_V1|[RD_US]|[rd_us]|rod|C|0|1||[FT_US]|[ft_us]|16.5|||08/07/2010 10:38|
25.25.139_V1|[CH_US]|[ch_us]|Gunter's chain - Surveyor's chain|C|0|1||[RD_US]|[rd_us]|4|||08/07/2010 10:38|
25.25.140_V1|[LK_US]|[lk_us]|link for Gunter's chain|C|0|1||[CH_US]/100|[ch_us]/100|1|||08/07/2010 10:38|
25.25.141_V1|[RCH_US]|[rch_us]|Ramden's chain - Engineer's chain|C|0|1||[FT_US]|[ft_us]|100|||08/07/2010 10:38|
25.25.142_V1|[RLK_US]|[rlk_us]|link for Ramden's chain|C|0|1||[RCH_US]/100|[rch_us]/100|1|||08/07/2010 10:38|
25.25.143_V1|[FTH_US]|[fth_us]|fathom|C|0|1||[FT_US]|[ft_us]|6|||08/07/2010 10:38|
25.25.144_V1|[FUR_US]|[fur_us]|furlong|C|0|1||[RD_US]|[rd_us]|40|||08/07/2010 10:38|
25.25.145_V1|[MI_US]|[mi_us]|mile|C|0|1||[FUR_US]|[fur_us]|8|||08/07/2010 10:38|
25.25.151_V1|[MIL_US]|[mil_us]|mil|C|0|1||[IN_US]|[in_us]|1e-3|||08/07/2010 10:38|
25.25.152_V1|[IN_BR]|[in_br]|inch|C|0|1||CM|cm|2.539998|||08/07/2010 10:38|
25.25.153_V1|[FT_BR]|[ft_br]|foot|C|0|1||[IN_BR]|[in_br]|12|||08/07/2010 10:38|
25.25.154_V1|[RD_BR]|[rd_br]|rod|C|0|1||[FT_BR]|[ft_br]|16.5|||08/07/2010 10:38|
25.25.155_V1|[CH_BR]|[ch_br]|Gunter's chain|C|0|1||[RD_BR]|[rd_br]|4|||08/07/2010 10:38|
25.25.156_V1|[LK_BR]|[lk_br]|link for Gunter's chain|C|0|1||[CH_BR]/100|[ch_br]/100|1|||08/07/2010 10:38|
25.25.157_V1|[FTH_BR]|[fth_br]|fathom|C|0|1||[FT_BR]|[ft_br]|6|||08/07/2010 10:38|
25.25.158_V1|[PC_BR]|[pc_br]|pace|C|0|1||[FT_BR]|[ft_br]|2.5|||08/07/2010 10:38|
25.25.159_V1|[YD_BR]|[yd_br]|yard|C|0|1||[FT_BR]|[ft_br]|3|||08/07/2010 10:38|
25.25.160_V1|[MI_BR]|[mi_br]|mile|C|0|1||[FT_BR]|[ft_br]|5280|||08/07/2010 10:38|
25.25.161_V1|[NMI_BR]|[nmi_br]|nautical mile|C|0|1||[FT_BR]|[ft_br]|6080|||08/07/2010 10:38|
25.25.206_V1|[LNE]|[lne]|line|C|0|1||[IN_I]/12|[in_i]/12|1|||08/07/2010 10:38|
25.25.207_V1|[PNT]|[pnt]|point|C|0|1||[LNE]/6|[lne]/6|1|||08/07/2010 10:38|
25.25.208_V1|[PCA]|[pca]|pica|C|0|1||[PNT]|[pnt]|12|||08/07/2010 10:38|
25.25.209_V1|[PNT_PR]|[pnt_pr]|Printer's point|C|0|1||[IN_I]|[in_i]|0.013837|||08/07/2010 10:38|
25.25.210_V1|[PCA_PR]|[pca_pr]|Printer's pica|C|0|1||[PNT_PR]|[pnt_pr]|12|||08/07/2010 10:38|
25.25.211_V1|[PIED]|[pied]|pied - French foot|C|0|1||CM|cm|32.48|||08/07/2010 10:38|
25.25.212_V1|[POUCE]|[pouce]|pouce - French inch|C|0|1||[PIED]/12|[pied]/12|1|||08/07/2010 10:38|
25.25.213_V1|[LIGNE]|[ligne]|ligne - French line|C|0|1||[POUCE]/12|[pouce]/12|1|||08/07/2010 10:38|
25.25.214_V1|[DIDOT]|[didot]|didot - Didot's point|C|0|1||[LIGNE]/6|[ligne]/6|1|||08/07/2010 10:38|
25.25.215_V1|[CICERO]|[cicero]|cicero - Didot's pica|C|0|1||[DIDOT]|[didot]|12|||08/07/2010 10:38|
25.25.25_V1|M|m|meter|C|0|1|L||||||08/07/2010 10:38|
